manga_id,chapter_id,volume,chapter_number,translated_language,publish_at,readable_at,pages
0017ab16-4f1f-452a-99d2-5f7dec895a67,6f4ae831-18de-4e99-b12a-b9b92e8351a2,,10,en,2026-09-20T14:32:33+00:00,2026-09-20T14:32:33+00:00,62
0017ab16-4f1f-452a-99d2-5f7dec895a67,0b72f9f0-0aa5-42c9-a1db-676abf0aa7fb,,11,en,2026-09-21T12:51:57+00:00,2026-09-21T12:51:57+00:00,60
0017ab16-4f1f-452a-99d2-5f7dec895a67,f118c2a8-8bf8-47ac-a281-16b38d4e1160,,12,en,2026-09-22T12:42:23+00:00,2026-09-22T12:42:23+00:00,54
0017ab16-4f1f-452a-99d2-5f7dec895a67,8878a2c2-4fa0-4bd5-a8df-9fd64d7028eb,,13,en,2026-09-23T13:03:20+00:00,2026-09-23T13:03:20+00:00,65
00cbb62b-b002-464d-bda7-8e650338417e,db5e0868-1132-4176-9b20-12fa88145d59,,1,en,2026-09-18T10:11:09+00:00,2026-09-18T10:11:09+00:00,134
00cbb62b-b002-464d-bda7-8e650338417e,37d0a46d-9ae6-40be-b986-8c9a123313ef,,2,en,2026-09-19T06:02:47+00:00,2026-09-19T06:02:47+00:00,38
00cbb62b-b002-464d-bda7-8e650338417e,14ac2a32-b4b1-43b8-8636-6a17dd9e6231,,3,en,2026-09-19T07:45:01+00:00,2026-09-19T07:45:01+00:00,23
00cbb62b-b002-464d-bda7-8e650338417e,34781ce0-7d23-43f2-bfcd-fcd1f5053d30,,4,en,2026-09-23T09:13:08+00:00,2026-09-23T09:13:08+00:00,24
00cbb62b-b002-464d-bda7-8e650338417e,38bd6aea-ff23-421e-be2b-d6af4b97a67f,,5,en,2026-09-23T10:19:57+00:00,2026-09-23T10:19:57+00:00,28
00cbb62b-b002-464d-bda7-8e650338417e,223dd191-37ce-4907-be4d-80fa455d6ad9,,6,en,2026-09-23T15:25:26+00:00,2026-09-23T15:25:26+00:00,28
00cbb62b-b002-464d-bda7-8e650338417e,c6be23f3-b6ec-4623-91ac-82e6c5c51127,,7,en,2026-09-23T16:20:48+00:00,2026-09-23T16:20:48+00:00,29
024daabd-a693-4f77-8d6a-7fd82e8b94f5,69bebe7b-98fa-4ecd-a8d1-4e5727c957db,,1,pt-br,2025-07-13T03:22:20+00:00,2025-07-13T03:22:20+00:00,131
024daabd-a693-4f77-8d6a-7fd82e8b94f5,b4a4677c-7b26-407e-9150-d06cf2c6ed53,,2,pt-br,2025-07-15T22:27:41+00:00,2025-07-15T22:27:41+00:00,88
024daabd-a693-4f77-8d6a-7fd82e8b94f5,8860bbaf-9d36-45f5-b533-d1730301be28,,3,pt-br,2025-07-24T01:51:28+00:00,2025-07-24T01:51:28+00:00,86
024daabd-a693-4f77-8d6a-7fd82e8b94f5,5d32f222-851f-486b-a119-176da79bc58a,,4,pt-br,2025-08-05T02:16:28+00:00,2025-08-05T02:16:28+00:00,98
