snapshot_date,fetched_at,manga_id,title,original_language,status,year,tags,content_rating,follows,average_rating,bayesian_rating,rating_votes,replies_count,latest_chapter_id,latest_volume,latest_chapter_number,latest_translated_language,latest_publish_at,latest_pages
2026-09-23,2026-09-23T18:08:57.087452+00:00,0017ab16-4f1f-452a-99d2-5f7dec895a67,Save the Earth!,ko,ongoing,2025,Long Strip|Romance|Comedy|Drama|School Life|Slice of Life|Full Color,safe,25,7.5,8.103073865357635,,2,8878a2c2-4fa0-4bd5-a8df-9fd64d7028eb,,13,en,2026-09-23T13:03:20+00:00,65
2026-09-23,2026-09-23T18:08:57.087452+00:00,00cbb62b-b002-464d-bda7-8e650338417e,World Extinction War,ko,ongoing,2026,Sci-Fi|Historical|Action|Long Strip|Martial Arts|Video Games|Magic|Isekai|Fantasy|Web Comic|Full Color,safe,441,8.9259,8.254232108995515,,2,c6be23f3-b6ec-4623-91ac-82e6c5c51127,,7,en,2026-09-23T16:20:48+00:00,29
2026-09-23,2026-09-23T18:08:57.087452+00:00,024daabd-a693-4f77-8d6a-7fd82e8b94f5,Grand Finale,ko,completed,2025,Sci-Fi|Action|Long Strip|Comedy|Adventure|Drama|Fantasy|Web Comic|Supernatural|Full Color,safe,1978,9.0533,8.620220902065096,,14,5d32f222-851f-486b-a119-176da79bc58a,,4,pt-br,2025-08-05T02:16:28+00:00,98
2026-09-23,2026-09-23T18:08:57.087452+00:00,0ab7ae56-2800-4426-819d-0cda91aad12a,The Blood Knight’s Villains,ko,cancelled,,Reincarnation|Action|Long Strip|Adventure|Isekai|Drama|Fantasy|Web Comic|Full Color,safe,496,7.0667,7.913871036359202,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,0db0c050-597e-4068-92e2-e57ea98d86b7,Meongmunsegareul Horyeonghaneun Agi Goyangiimnida,ko,ongoing,2026,Long Strip|Romance|Martial Arts|Fantasy|Adaptation|Full Color,safe,4,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,0e117066-f6e7-44a7-a31f-34bf27b4e3fa,Nal Cha Beorin Sokkupchingu wa Jeon Yeochin i Gateun Banira Gollanhada,ko,completed,2023,Reincarnation|Action|Long Strip|Romance|Magic|Drama|School Life|Fantasy|Full Color,safe,71,7.2,8.078184608327222,,0,615501b7-0199-4b52-9477-3ffcd6657a30,1,1,fr,2026-09-13T19:51:59+00:00,120
2026-09-23,2026-09-23T18:08:57.087452+00:00,105c2a3e-0235-44a4-9b8c-42ae2c555e4e,"My Next-Door Neighbor, the Handsome Stalker Boy",ko,completed,2016,Long Strip|Romance|Comedy|Drama|Web Comic|Slice of Life|Full Color,safe,338,6.6667,8.017489002568396,,0,82d0b603-71ea-4fe4-a3c1-4fba4e70deb7,,7,en,2022-01-08T15:24:19+00:00,12
2026-09-23,2026-09-23T18:08:57.087452+00:00,135907b0-f623-4b4e-9024-959102905508,Nam Goong Sae Ga Prince,ko,completed,2020,Action|Long Strip|Survival|Martial Arts|Adventure|Drama|Adaptation|Full Color,safe,490,7.3182,7.995967238475291,,5,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,2057c712-1d9b-48a1-ba8f-541756209036,Jolttaejado Appaneun Choeumira,ko,ongoing,2025,Action|Demons|Long Strip|Adventure|Isekai|Fantasy|Web Comic|Adaptation|Full Color,safe,13,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,23ddcbae-7074-4f07-bd23-08177bf31412,Yongsa ui Ballad,ko,ongoing,2026,Action|Long Strip|Adventure|Fantasy|Full Color,safe,67,10,8.155739109991673,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,2c4c69a9-0f92-4af9-b22b-5ae66c934c32,Misfit on the Florida,ko,ongoing,2026,Historical|Long Strip|Boys' Love|Drama|Full Color,suggestive,39,6.25,8.05604256946767,,0,cca4b7bc-21ae-4058-b1ae-e0d84888c973,,9,en,2026-09-19T03:01:54+00:00,49
2026-09-23,2026-09-23T18:08:57.087452+00:00,39872c85-0375-4f6d-b333-213944337971,Cheonmanchongchun,ko,ongoing,2024,Long Strip|Romance|Comedy|Drama|School Life|Slice of Life|Full Color,safe,3,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,The Incognito Princess,ko,ongoing,2024,Reincarnation|Long Strip|Romance|Isekai|Fantasy|Villainess|Supernatural|Adaptation|Full Color,safe,4107,8.9305,8.702450715544828,,9,a92bed04-529c-41bb-bf10-20af1f811f8d,,44,en,2025-05-10T01:43:46+00:00,68
2026-09-23,2026-09-23T18:08:57.087452+00:00,412ab8fe-eca9-47c9-8f5c-f6deb75622e9,The Beloved Little Princess,ko,completed,2020,Reincarnation|Action|Long Strip|Romance|Comedy|Magic|Fantasy|Web Comic|Adaptation|Full Color,safe,46988,8.7132,8.68601561320172,,607,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,429d98fa-1352-4adf-94d1-969efafec386,The Doctor Is Out,ko,hiatus,2022,Time Travel|Long Strip|Romance|Comedy|Drama|Fantasy|Adaptation|Full Color,safe,369,8.1429,8.116779734751427,,1,d079134b-a018-433d-9fd9-1f48d3d01040,,99,id,2025-11-21T14:04:24+00:00,18
2026-09-23,2026-09-23T18:08:57.087452+00:00,56691e99-ca6d-4360-bae1-0a0dfb85866b,Jungse Fantasy sok Mangnani Gyeongbijojang,ko,ongoing,2024,Monsters|Action|Demons|Long Strip|Magic|Drama|Fantasy|Adaptation|Full Color|Tragedy,safe,4943,8.6699,8.50556814706439,,7,f271c05b-1d0c-4dac-81a2-2d89eafdb10d,,4,pl,2025-04-16T08:16:40+00:00,101
2026-09-23,2026-09-23T18:08:57.087452+00:00,5a0b8181-1fe1-4f59-8b0b-60e720a3326c,Samnyumuga Cheonhajeirin,ko,ongoing,2026,Action|Long Strip|Martial Arts|Drama|Fantasy|Adaptation|Full Color,safe,4,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,5c78dcc5-0393-457d-9e4f-3fde40ef1014,Mujehan ui Segyunsulsa,ko,ongoing,2026,Monsters|Action|Long Strip|Magic|Fantasy|Full Color,safe,11,8,8.11076866914732,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,6a50ffeb-9678-47b4-868e-15fe0febe188,My Darling Signed In,ko,completed,2017,Long Strip|Romance|Comedy|Boys' Love|Video Games|Web Comic|Full Color,safe,910,8.2785,8.175858318083053,,8,e3d50ade-42a5-4f95-a147-30a3c90e2a47,,3,en,2023-03-11T16:53:33+00:00,0
2026-09-23,2026-09-23T18:08:57.087452+00:00,6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,백합의 우울,ko,completed,2023,Long Strip|Comedy|Girls' Love|Drama|School Life|Full Color,safe,196,9.0645,8.298162449387736,,0,92048c39-4849-4ee0-8b09-a31fcb8bcb0c,,62,id,2026-09-21T05:54:27+00:00,37
2026-09-23,2026-09-23T18:08:57.087452+00:00,7609c582-6361-436a-a09f-a273079eff1a,Modeun Geol Gieokhaneun Cheonjae Musa,ko,ongoing,2026,Time Travel|Action|Long Strip|Martial Arts|Fantasy|Full Color,safe,9,7.5,8.103073865357635,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,7a020035-69b2-41eb-89d6-bca97cb729df,Pahonhan Yeongaeneun Ending Oeen Jipchakaji Anneunda,ko,ongoing,2023,Long Strip|Romance|Magic|Isekai|Fantasy|Adaptation|Full Color,safe,165,6.8,8.017362231926858,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,7b93ac7f-410e-4431-b92d-1ce2a6f13f10,The Dignity of a Chaebol,ko,ongoing,,Reincarnation|Time Travel|Long Strip|Office Workers|Drama|Fantasy,safe,162,8.125,8.113235522185564,,0,,,,,,
