manga_id,chapter_id,batch_id,comment_count,positive_ratio,neutral_ratio,negative_ratio,sentiment_score,trend_delta,recency_weight
demo-001,demo-001-31,2026-09-15,6,0.6667,0.1667,0.1667,0.5,0.0,0.1429
demo-002,demo-002-18,2026-09-15,8,0.375,0.5,0.125,0.25,0.0,0.1429
demo-004,demo-004-12,2026-09-15,8,0.5,0.125,0.375,0.125,0.0,0.1429
demo-005,demo-005-27,2026-09-15,6,0.6667,0.3333,0.0,0.6667,0.0,0.1429
demo-003,demo-003-44,2026-09-15,12,0.5833,0.3333,0.0833,0.5,0.0,0.1429
demo-001,demo-001-31,2026-09-16,8,0.375,0.25,0.375,0.0,-0.5,0.1667
demo-005,demo-005-27,2026-09-16,9,0.6667,0.2222,0.1111,0.5556,-0.1111,0.1667
demo-004,demo-004-12,2026-09-16,10,0.5,0.5,0.0,0.5,0.375,0.1667
demo-002,demo-002-18,2026-09-16,11,0.5455,0.3636,0.0909,0.4545,0.2045,0.1667
demo-003,demo-003-44,2026-09-16,2,0.5,0.0,0.5,0.0,-0.5,0.1667
demo-001,demo-001-31,2026-09-17,9,0.4444,0.2222,0.3333,0.1111,0.1111,0.2
demo-002,demo-002-18,2026-09-17,5,0.6,0.4,0.0,0.6,0.1455,0.2
demo-003,demo-003-44,2026-09-17,9,0.5556,0.4444,0.0,0.5556,0.5556,0.2
demo-005,demo-005-27,2026-09-17,9,0.5556,0.2222,0.2222,0.3333,-0.2222,0.2
demo-004,demo-004-12,2026-09-17,8,0.625,0.125,0.25,0.375,-0.125,0.2
demo-004,demo-004-12,2026-09-18,9,0.8889,0.0,0.1111,0.7778,0.4028,0.25
demo-005,demo-005-27,2026-09-18,7,0.2857,0.7143,0.0,0.2857,-0.0476,0.25
demo-003,demo-003-44,2026-09-18,9,0.5556,0.4444,0.0,0.5556,0.0,0.25
demo-001,demo-001-31,2026-09-18,8,0.5,0.375,0.125,0.375,0.2639,0.25
demo-002,demo-002-18,2026-09-18,7,0.8571,0.1429,0.0,0.8571,0.2571,0.25
demo-001,demo-001-31,2026-09-19,13,0.1538,0.3846,0.4615,-0.3077,-0.6827,0.3333
demo-002,demo-002-18,2026-09-19,5,0.4,0.2,0.4,0.0,-0.8571,0.3333
demo-004,demo-004-12,2026-09-19,7,0.2857,0.2857,0.4286,-0.1429,-0.9206,0.3333
demo-005,demo-005-27,2026-09-19,10,0.2,0.4,0.4,-0.2,-0.4857,0.3333
demo-003,demo-003-44,2026-09-19,5,0.2,0.2,0.6,-0.4,-0.9556,0.3333
demo-002,demo-002-18,2026-09-20,9,0.2222,0.4444,0.3333,-0.1111,-0.1111,0.5
demo-003,demo-003-44,2026-09-20,5,0.2,0.2,0.6,-0.4,0.0,0.5
demo-005,demo-005-27,2026-09-20,9,0.1111,0.4444,0.4444,-0.3333,-0.1333,0.5
demo-001,demo-001-31,2026-09-20,3,0.0,0.3333,0.6667,-0.6667,-0.359,0.5
demo-004,demo-004-12,2026-09-20,14,0.3571,0.0714,0.5714,-0.2143,-0.0714,0.5
demo-002,demo-002-18,2026-09-21,9,0.2222,0.2222,0.5556,-0.3333,-0.2222,1.0
demo-004,demo-004-12,2026-09-21,11,0.4545,0.1818,0.3636,0.0909,0.3052,1.0
demo-003,demo-003-44,2026-09-21,7,0.8571,0.1429,0.0,0.8571,1.2571,1.0
demo-005,demo-005-27,2026-09-21,7,0.5714,0.2857,0.1429,0.4286,0.7619,1.0
demo-001,demo-001-31,2026-09-21,6,0.1667,0.5,0.3333,-0.1667,0.5,1.0
